task_id,model_id,label,category,task_prefix,text,response,tool_call
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","gpt-3.5","Good","todo","reports/assist","Add clean the kitchen to my todo list","'Clean the kitchen' has been added to your todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","gpt-3.5","Good","todo","reports/assist","Add history homework to my personal tasks","History homework has been added to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","gpt-3.5","Good","todo","reports/assist","Add history homework to my tasks","I have added history homework to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","gpt-3.5","Good","todo","reports/assist","Put history homework on personal tasks todo list","The history homework has been added to your personal tasks todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"home1_us_cover_garage_cover_garage-close_the_garage_door","gpt-3.5","Good","cover","reports/assist","Close the garage door","The garage door has been closed successfully.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-open_the_garage_door","gpt-3.5","Good","cover","reports/assist","Open the garage door","The garage door has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_close_the_garage_door","gpt-3.5","Good","cover","reports/assist","Please close the garage door","The garage door has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_open_the_garage_door","gpt-3.5","Good","cover","reports/assist","Please open the garage door","The garage door has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_lock_smart_lock-lock_smart_lock","gpt-3.5","Good","lock","reports/assist","Lock smart lock","The smart lock has been locked successfully.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_lock_smart_lock-lock_the_entry_lock","gpt-3.5","Good","lock","reports/assist","Lock the entry lock","The entry lock has been locked successfully.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock'], 'area': 'Entry'}}"
"home1_us_lock_smart_lock-unlock_smart_lock","gpt-3.5","Good","lock","reports/assist","Unlock smart lock","The smart lock has been unlocked.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_lock_smart_lock-unlock_the_entry_lock","gpt-3.5","Good","lock","reports/assist","Unlock the entry lock","The entry lock has been unlocked.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock'], 'area': 'Entry'}}"
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base","gpt-3.5","Good","vacuum","reports/assist","Return Roborock Downstairs to base","Roborock Downstairs is returning to base in the Living Room.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum'], 'area': 'Living Room'}}"
"home1_us_vacuum_vacuum-return_vacuum_in_the_living_room_to_base","gpt-3.5","Good","vacuum","reports/assist","Return vacuum in the living room to base","The Roborock Downstairs vacuum in the Living Room has been instructed to return to its base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'area': 'Living Room', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum","gpt-3.5","Good","vacuum","reports/assist","Start Roborock Downstairs vacuum","Roborock Downstairs vacuum has been started in the Living Room.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'area': 'Living Room', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-start_vacuum_in_the_living_room","gpt-3.5","Good","vacuum","reports/assist","Start vacuum in the living room","The vacuum in the Living Room has been started successfully.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'area': 'Living Room', 'domain': ['vacuum']}}"
"home2_ru_valve_water_valve-close_the_front_yard_valve","gpt-3.5","Good","valve","reports/assist","close the front yard valve","The front yard valve has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-close_the_irrigation_valve","gpt-3.5","Good","valve","reports/assist","close the irrigation valve","The irrigation valve has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-open_the_front_yard_valve","gpt-3.5","Good","valve","reports/assist","open the front yard valve","The front yard valve has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve', 'area': 'Front yard', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-open_the_irrigation_valve","gpt-3.5","Good","valve","reports/assist","open the irrigation valve","I have opened the irrigation valve.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-set_the_irrigation_valve_to_50","gpt-3.5","Good","valve","reports/assist","set the irrigation valve to 50%","The irrigation valve has been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve'], 'position': 50}}"
"home5_cn_fan_fan-turn_off_the_bedroom_1_fan","gpt-3.5","Good","fan","reports/assist","Turn off the bedroom 1 fan","The Bedroom 1 fan has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Bedroom Fan', 'area': 'Bedroom 1', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_off_the_bedroom_fan","gpt-3.5","Good","fan","reports/assist","Turn off the bedroom fan","The bedroom fan has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_1_fan","gpt-3.5","Good","fan","reports/assist","Turn on the bedroom 1 fan","The Bedroom 1 fan has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Bedroom Fan', 'area': 'Bedroom 1', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_fan","gpt-3.5","Good","fan","reports/assist","Turn on the bedroom fan","The bedroom fan has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_light_light-set_the_living_room_light_to_50_brightness","gpt-3.5","Good","light","reports/assist","Set the living room light to 50% brightness","The living room light has been set to 50% brightness.","{'tool_name': 'HassLightSet', 'tool_args': {'name': 'Living Room Light', 'brightness': 50}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_curtains","gpt-3.5","Good","cover","reports/assist","Close the living room curtains","The living room curtains have been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_smart_curtain","gpt-3.5","Good","cover","reports/assist","Close the living room smart curtain","The living room smart curtain has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-close_the_smart_cutains","gpt-3.5","Good","cover","reports/assist","Close the smart cutains","The smart curtains have been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_curtains","gpt-3.5","Good","cover","reports/assist","Open the living room curtains","The living room curtains have been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_smart_curtain","gpt-3.5","Good","cover","reports/assist","Open the living room smart curtain","The living room smart curtain has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_smart_curtain","gpt-3.5","Good","cover","reports/assist","Open the smart curtain","The smart curtain has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-set_the_living_room_curtains_to_50","gpt-3.5","Good","cover","reports/assist","Set the living room curtains to 50%","The living room curtains have been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Smart Curtain', 'area': 'Living Room', 'domain': ['cover'], 'position': 50}}"
"home7_dk_cover_curtain_cover_curtain-set_the_smart_curtain_to_50","gpt-3.5","Good","cover","reports/assist","Set the smart curtain to 50%","The smart curtain has been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Smart Curtain', 'position': 50, 'domain': ['cover']}}"
"home7_dk_media_player_media_player-mute_the_outdoor_speakers","gpt-3.5","Good","media-player","reports/assist","Mute the outdoor speakers","The outdoor speakers have been muted.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player'], 'volume_level': 0, 'area': 'Rooftop Terrace', 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-pause_outdoor_speakers","gpt-3.5","Good","media-player","reports/assist","Pause Outdoor Speakers","The Outdoor Speakers have been paused successfully.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-pause_the_rooftop_terrace_music","gpt-3.5","Good","media-player","reports/assist","Pause the Rooftop Terrace music","The music in the Rooftop Terrace has been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-resume_outdoor_speakers","gpt-3.5","Good","media-player","reports/assist","Resume Outdoor Speakers","The Outdoor Speakers have been resumed.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers', 'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-set_outdoor_speakers_volume_to_50","gpt-3.5","Good","media-player","reports/assist","Set outdoor speakers volume to 50%","The outdoor speakers volume has been set to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player'], 'volume_level': 50}}"
"home7_dk_media_player_media_player-skip_song_on_outdoor_speakers","gpt-3.5","Good","media-player","reports/assist","Skip song on outdoor speakers","The song has been skipped on the outdoor speakers.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers', 'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-skip_to_the_next_track_on_the_outdoor_speakers","gpt-3.5","Good","media-player","reports/assist","Skip to the next track on the outdoor speakers","The outdoor speakers have been successfully skipped to the next track.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers', 'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-stop_the_outdoor_speakers","gpt-3.5","Good","media-player","reports/assist","Stop the Outdoor Speakers","The Outdoor Speakers have been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-turn_the_volume_down_to_50","gpt-3.5","Good","media-player","reports/assist","Turn the volume down to 50%","The volume has been set to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player'], 'volume_level': 50}}"
"home7_dk_media_player_media_player-unpause_the_rooftop_terrace_music","gpt-3.5","Good","media-player","reports/assist","Unpause the Rooftop Terrace music","The music in the Rooftop Terrace has been unpaused.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'area': 'Rooftop Terrace', 'domain': ['media_player']}}"
"dom1_pl_lights_lights-dining_room_light_off","gpt-4o-mini","Good","light","reports/assist","Dining room light off","The Dining Room Light is now off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-kitchen_light_off","gpt-4o-mini","Good","light","reports/assist","Kitchen light off","The Kitchen Light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","gpt-4o-mini","Good","light","reports/assist","Please turn on the kitchen light","The kitchen light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","gpt-4o-mini","Good","light","reports/assist","Turn on the Backyard light","The Backyard light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garden Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","gpt-4o-mini","Good","light","reports/assist","Turn on the living room light","The Living Room Light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Living Room Light', 'domain': ['light']}}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","gpt-4o-mini","Good","todo","reports/assist","Add clean the kitchen to my todo list","I've added 'clean the kitchen' to your todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","gpt-4o-mini","Good","todo","reports/assist","Add history homework to my personal tasks","I've added 'history homework' to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","gpt-4o-mini","Good","todo","reports/assist","Add history homework to my tasks","I've added 'history homework' to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","gpt-4o-mini","Good","todo","reports/assist","Put history homework on personal tasks todo list","I've added 'history homework' to the Personal Tasks todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"home1_us_cover_garage_cover_garage-close_the_garage_door","gpt-4o-mini","Good","cover","reports/assist","Close the garage door","The garage door has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-open_the_garage_door","gpt-4o-mini","Good","cover","reports/assist","Open the garage door","The garage door has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_close_the_garage_door","gpt-4o-mini","Good","cover","reports/assist","Please close the garage door","The garage door is now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_open_the_garage_door","gpt-4o-mini","Good","cover","reports/assist","Please open the garage door","The garage door is now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_lock_smart_lock-lock_smart_lock","gpt-4o-mini","Good","lock","reports/assist","Lock smart lock","The smart lock is now locked.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_lock_smart_lock-lock_the_entry_lock","gpt-4o-mini","Good","lock","reports/assist","Lock the entry lock","The entry lock has been successfully locked.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_lock_smart_lock-unlock_smart_lock","gpt-4o-mini","Good","lock","reports/assist","Unlock smart lock","The smart lock has been unlocked.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_lock_smart_lock-unlock_the_entry_lock","gpt-4o-mini","Good","lock","reports/assist","Unlock the entry lock","The entry lock has been successfully unlocked.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base","gpt-4o-mini","Good","vacuum","reports/assist","Return Roborock Downstairs to base","The Roborock Downstairs has been returned to its base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-return_vacuum_in_the_living_room_to_base","gpt-4o-mini","Good","vacuum","reports/assist","Return vacuum in the living room to base","The vacuum in the Living Room has been returned to its base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'area': 'Living Room', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum","gpt-4o-mini","Good","vacuum","reports/assist","Start Roborock Downstairs vacuum","The Roborock Downstairs vacuum has been started.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-start_vacuum_in_the_living_room","gpt-4o-mini","Good","vacuum","reports/assist","Start vacuum in the living room","The vacuum has started in the Living Room.","{'tool_name': 'HassVacuumStart', 'tool_args': {'area': 'Living Room', 'domain': ['vacuum']}}"
"home2_ru_valve_water_valve-close_the_front_yard_valve","gpt-4o-mini","Good","valve","reports/assist","close the front yard valve","The irrigation valve in the front yard has been successfully closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve'], 'area': 'Front yard'}}"
"home2_ru_valve_water_valve-close_the_irrigation_valve","gpt-4o-mini","Good","valve","reports/assist","close the irrigation valve","The irrigation valve has been successfully closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-open_the_front_yard_valve","gpt-4o-mini","Good","valve","reports/assist","open the front yard valve","The front yard valve is now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-open_the_irrigation_valve","gpt-4o-mini","Good","valve","reports/assist","open the irrigation valve","The irrigation valve is now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-set_the_irrigation_valve_to_50","gpt-4o-mini","Good","valve","reports/assist","set the irrigation valve to 50%","The irrigation valve has been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve'], 'position': 50}}"
"home5_cn_fan_fan-turn_off_the_bedroom_1_fan","gpt-4o-mini","Good","fan","reports/assist","Turn off the bedroom 1 fan","The Bedroom Fan has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_off_the_bedroom_fan","gpt-4o-mini","Good","fan","reports/assist","Turn off the bedroom fan","The bedroom fan has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_1_fan","gpt-4o-mini","Good","fan","reports/assist","Turn on the bedroom 1 fan","The bedroom fan has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_fan","gpt-4o-mini","Good","fan","reports/assist","Turn on the bedroom fan","The bedroom fan is now turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_light_light-set_the_living_room_light_to_50_brightness","gpt-4o-mini","Good","light","reports/assist","Set the living room light to 50% brightness","The living room light has been set to 50% brightness.","{'tool_name': 'HassLightSet', 'tool_args': {'name': 'Living Room Light', 'brightness': 50}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_curtains","gpt-4o-mini","Good","cover","reports/assist","Close the living room curtains","The living room curtains have been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_smart_curtain","gpt-4o-mini","Good","cover","reports/assist","Close the living room smart curtain","The living room smart curtain has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-close_the_smart_cutains","gpt-4o-mini","Good","cover","reports/assist","Close the smart cutains","The smart curtains have been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_curtains","gpt-4o-mini","Good","cover","reports/assist","Open the living room curtains","The living room curtains are now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_smart_curtain","gpt-4o-mini","Good","cover","reports/assist","Open the living room smart curtain","The living room smart curtain is now open.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-open_the_smart_curtain","gpt-4o-mini","Good","cover","reports/assist","Open the smart curtain","The smart curtain has been opened.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover']}}"
"home7_dk_cover_curtain_cover_curtain-set_the_living_room_curtains_to_50","gpt-4o-mini","Good","cover","reports/assist","Set the living room curtains to 50%","The living room curtains have been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'area': 'Living Room', 'domain': ['cover'], 'position': 50}}"
"home7_dk_cover_curtain_cover_curtain-set_the_smart_curtain_to_50","gpt-4o-mini","Good","cover","reports/assist","Set the smart curtain to 50%","The smart curtain has been set to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'name': 'Smart Curtain', 'domain': ['cover'], 'position': 50}}"
"home7_dk_media_player_media_player-mute_the_outdoor_speakers","gpt-4o-mini","Bad","media-player","reports/assist","Mute the outdoor speakers","The outdoor speakers have been muted.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-pause_outdoor_speakers","gpt-4o-mini","Good","media-player","reports/assist","Pause Outdoor Speakers","The Outdoor Speakers have been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-pause_the_rooftop_terrace_music","gpt-4o-mini","Good","media-player","reports/assist","Pause the Rooftop Terrace music","The music on the Rooftop Terrace has been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'area': 'Rooftop Terrace', 'domain': ['media_player'], 'device_class': ['speaker']}}"
"home7_dk_media_player_media_player-resume_outdoor_speakers","gpt-4o-mini","Good","media-player","reports/assist","Resume Outdoor Speakers","The Outdoor Speakers have been resumed.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-set_outdoor_speakers_volume_to_50","gpt-4o-mini","Good","media-player","reports/assist","Set outdoor speakers volume to 50%","The volume of the outdoor speakers has been set to 50%.","{'tool_name': 'HassSetVolume', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player'], 'volume_level': 50}}"
"home7_dk_media_player_media_player-skip_song_on_outdoor_speakers","gpt-4o-mini","Good","media-player","reports/assist","Skip song on outdoor speakers","The song on the outdoor speakers has been skipped.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-skip_to_the_next_track_on_the_outdoor_speakers","gpt-4o-mini","Good","media-player","reports/assist","Skip to the next track on the outdoor speakers","I've skipped to the next track on the outdoor speakers.","{'tool_name': 'HassMediaNext', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-stop_the_outdoor_speakers","gpt-4o-mini","Good","media-player","reports/assist","Stop the Outdoor Speakers","The Outdoor Speakers have been paused.","{'tool_name': 'HassMediaPause', 'tool_args': {'name': 'Outdoor Speakers', 'domain': ['media_player']}}"
"home7_dk_media_player_media_player-turn_the_volume_down_to_50","gpt-4o-mini","Good","media-player","reports/assist","Turn the volume down to 50%","The volume has been turned down to 50% for the Outdoor Speakers on the Rooftop Terrace.","{'tool_name': 'HassSetVolume', 'tool_args': {'area': 'Rooftop Terrace', 'domain': ['media_player'], 'volume_level': 50}}"
"home7_dk_media_player_media_player-unpause_the_rooftop_terrace_music","gpt-4o-mini","Good","media-player","reports/assist","Unpause the Rooftop Terrace music","The music on the Rooftop Terrace has been unpaused. Enjoy!","{'tool_name': 'HassMediaUnpause', 'tool_args': {'area': 'Rooftop Terrace', 'domain': ['media_player']}}"
"dom1_pl_lights_lights-dining_room_light_off","llama3.1","Good","light","reports/assist","Dining room light off","The Dining room light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'light', 'name': 'Dining Room Light'}}"
"dom1_pl_lights_lights-kitchen_light_off","llama3.1","Good","light","reports/assist","Kitchen light off","The Kitchen light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Kitchen', 'domain': ['light'], 'name': 'Kitchen Light'}}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","llama3.1","Good","light","reports/assist","Please turn on the kitchen light","I have turned on the kitchen light.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Kitchen', 'domain': ['light'], 'name': 'Kitchen Light'}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","llama3.1","Good","light","reports/assist","Turn on the Backyard light","The Backyard light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Backyard', 'device_class': [], 'domain': 'light', 'name': 'Garden Light'}}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","llama3.1","Bad","light","reports/assist","Turn on the living room light","I was unable to call the tool correctly. \n\nThe intent of the user is to turn on the Living Room light. Since there are multiple lights in this home, I will need the area name to be specified.\n\nTo turn on the living room light, please specify the area.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': ['Living Room'], 'device_class': [''], 'domain': ['light'], 'floor': [''], 'name': ['Living Room Light']}}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","llama3.1","Good","todo","reports/assist","Add clean the kitchen to my todo list","I have added 'clean the kitchen' to your todo list in Personal Tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","llama3.1","Good","todo","reports/assist","Add history homework to my personal tasks","I have added history homework to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","llama3.1","Good","todo","reports/assist","Add history homework to my tasks","I have added history homework to your Personal Tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
